node_id	label	class	predicate
1	Entity_1	Q1	P1
2	Entity_2	Q2	P2
3	Entity_3	Q3	P3
4	Entity_4	Q4	P4
5	Entity_5	Q5	P5
6	Entity_6	Q6	P6
7	Entity_7	Q7	P7
8	Entity_8	Q8	P8
9	Entity_9	Q9	P9
10	Entity_10	Q10	P0
11	Entity_11	Q11	P1
12	Entity_12	Q12	P2
13	Entity_13	Q13	P3
14	Entity_14	Q14	P4
15	Entity_15	Q15	P5
16	Entity_16	Q16	P6
17	Entity_17	Q17	P7
18	Entity_18	Q18	P8
19	Entity_19	Q19	P9
20	Entity_20	Q20	P0
21	Entity_21	Q21	P1
22	Entity_22	Q22	P2
23	Entity_23	Q23	P3
24	Entity_24	Q24	P4
25	Entity_25	Q25	P5
26	Entity_26	Q26	P6
27	Entity_27	Q27	P7
28	Entity_28	Q28	P8
29	Entity_29	Q29	P9
30	Entity_30	Q30	P0
31	Entity_31	Q31	P1
32	Entity_32	Q32	P2
33	Entity_33	Q33	P3
34	Entity_34	Q34	P4
35	Entity_35	Q35	P5
36	Entity_36	Q36	P6
37	Entity_37	Q37	P7
38	Entity_38	Q38	P8
39	Entity_39	Q39	P9
40	Entity_40	Q40	P0
41	Entity_41	Q41	P1
42	Entity_42	Q42	P2
43	Entity_43	Q43	P3
44	Entity_44	Q44	P4
45	Entity_45	Q45	P5
46	Entity_46	Q46	P6
47	Entity_47	Q47	P7
48	Entity_48	Q48	P8
49	Entity_49	Q49	P9
